Tipo Agregado;Valor m2
Apartamento;32.69
Apartamento;59.26
Apartamento;23.53
Apartamento;33.95
Apartamento;18.82
Apartamento;42.0
Apartamento;21.82
Casa;12.25
Apartamento;12.99
Apartamento;27.54
Apartamento;53.57
Apartamento;29.41
Apartamento;16.38
Casa;7.33
Casa;21.88
Apartamento;37.5
Apartamento;16.43
Apartamento;38.89
Apartamento;76.34
Apartamento;22.73
Apartamento;39.68
Apartamento;29.11
Apartamento;42.17
Apartamento;21.25
Apartamento;20.37
Apartamento;40.76
Apartamento;53.7
Apartamento;42.17
Apartamento;30.19
Apartamento;53.33
Apartamento;45.83
Apartamento;20.83
Apartamento;35.42
Apartamento;46.67
Apartamento;41.47
Apartamento;41.1
Apartamento;52.05
Apartamento;50.0
Casa;11.58
Apartamento;21.98
Apartamento;20.0
Apartamento;33.33
Apartamento;28.57
Apartamento;11.67
Apartamento;44.3
Apartamento;30.36
Apartamento;28.0
Apartamento;22.73
Apartamento;31.43
Apartamento;25.0
Apartamento;27.85
Apartamento;22.94
Apartamento;35.46
Casa;19.1
Apartamento;14.13
Apartamento;43.33
Apartamento;25.64
Apartamento;42.5
Apartamento;62.5
Apartamento;35.14
Apartamento;86.02
Apartamento;20.91
Apartamento;55.24
Apartamento;70.59
Apartamento;31.25
Apartamento;22.22
Apartamento;41.47
Apartamento;31.58
Apartamento;24.62
Apartamento;25.93
Apartamento;37.5
Apartamento;35.56
Apartamento;36.04
Apartamento;24.44
Casa;8.0
Apartamento;35.0
Apartamento;26.47
Casa;15.0
Apartamento;50.0
Apartamento;39.68
Apartamento;62.5
Apartamento;19.05
Apartamento;32.17
Apartamento;33.33
Apartamento;40.0
Apartamento;23.75
Apartamento;23.68
Apartamento;46.34
Apartamento;27.78
Apartamento;35.62
Apartamento;18.03
Apartamento;34.17
Apartamento;22.0
Apartamento;36.29
Apartamento;24.35
Apartamento;45.0
Apartamento;31.43
Casa;30.59
Apartamento;30.65
Casa;23.33
Apartamento;66.67
Apartamento;37.14
Apartamento;25.0
Apartamento;20.83
Apartamento;55.12
Apartamento;80.0
Apartamento;57.32
Apartamento;21.0
Apartamento;65.04
Apartamento;33.33
Apartamento;9.44
Apartamento;42.86
Apartamento;22.89
Apartamento;18.75
Apartamento;36.07
Apartamento;62.5
Apartamento;38.89
Apartamento;34.29
Apartamento;25.0
Apartamento;41.18
Apartamento;14.75
Apartamento;40.59
Apartamento;54.17
Apartamento;31.58
Apartamento;34.92
Apartamento;15.15
Apartamento;22.0
Apartamento;22.5
Apartamento;46.15
Apartamento;14.29
Apartamento;13.64
Apartamento;50.36
Apartamento;40.0
Apartamento;31.5
Apartamento;19.0
Casa;24.0
Apartamento;10.83
Apartamento;25.77
Apartamento;27.27
Apartamento;33.33
Apartamento;28.57
Apartamento;23.47
Apartamento;29.46
Apartamento;10.0
Apartamento;18.18
Apartamento;28.95
Casa;13.0
Apartamento;35.0
Apartamento;13.33
Apartamento;14.71
Apartamento;40.82
Apartamento;20.0
Apartamento;35.0
Apartamento;38.06
Apartamento;17.33
Apartamento;71.25
Casa;15.0
Apartamento;11.86
Apartamento;77.78
Apartamento;64.52
Apartamento;21.43
Apartamento;35.86
Apartamento;66.67
Apartamento;32.74
Apartamento;16.22
Apartamento;22.29
Apartamento;51.67
Apartamento;23.33
Apartamento;35.71
Apartamento;58.96
Apartamento;56.0
Apartamento;23.33
Apartamento;58.39
Apartamento;21.6
Apartamento;52.88
Apartamento;41.67
Apartamento;17.86
Apartamento;77.08
Apartamento;26.15
Apartamento;20.73
Apartamento;37.04
Apartamento;34.69
Apartamento;17.19
Apartamento;43.36
Apartamento;53.33
Apartamento;40.0
Apartamento;20.0
Apartamento;40.0
Apartamento;24.71
Apartamento;15.17
Apartamento;10.91
Apartamento;50.0
Apartamento;11.64
Apartamento;28.57
Apartamento;37.5
Apartamento;42.97
Apartamento;19.4
Casa;38.1
Apartamento;35.71
Apartamento;36.36
Apartamento;16.89
Apartamento;20.0
Apartamento;27.78
